Host Since;Host Response Rate;Is Superhost;neighbourhood;Neighborhood Group;Latitude;Longitude;Is Exact Location;Accomodates;Bathrooms;Bedrooms;Beds;Guests Included;Min Nights;Reviews;Overall Rating;Accuracy Rating;Cleanliness Rating;Checkin Rating;Communication Rating;Location Rating;Value Rating;Instant Bookable;Price;Host Response Time_a few days or more;Host Response Time_unknown;Host Response Time_within a day;Host Response Time_within a few hours;Host Response Time_within an hour;Property Type_Apartment;Property Type_Bed and breakfast;Property Type_Boat;Property Type_Boutique hotel;Property Type_Bungalow;Property Type_Condominium;Property Type_Guest suite;Property Type_Guesthouse;Property Type_Hostel;Property Type_Hotel;Property Type_House;Property Type_Loft;Property Type_Other;Property Type_Serviced apartment;Property Type_Townhouse;Room Type_Entire home/apt;Room Type_Private room;Room Type_Shared room
1225;;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.50185;13.44001;0.0;2.0;1.0;1.0;2.0;1.0;1.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;12.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
3244;;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.4874;13.38935;0.0;2.0;1.0;2.0;1.0;1.0;2.0;0;;;;;;;;0.0;31.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
3388;100.0;0.0;Prenzlauer Berg;Pankow;52.54964;13.400429999999998;0.0;2.0;1.0;1.0;1.0;2.0;3.0;23;97.0;10.0;10.0;10.0;10.0;9.0;10.0;0.0;56.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1093;100.0;1.0;Lichterfelde;Steglitz - Zehlendorf;52.43411999999999;13.1214;1.0;5.0;1.0;2.0;2.0;2.0;1.0;84;96.0;10.0;10.0;10.0;10.0;9.0;10.0;1.0;75.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2921;;0.0;Neuk̦lln;Neuk̦lln;52.478640000000006;13.44946;0.0;3.0;1.0;1.0;1.0;1.0;2.0;0;;;;;;;;0.0;65.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2645;100.0;0.0;Sch̦neberg;Tempelhof - Sch̦neberg;52.48203;13.3612;0.0;1.0;1.0;1.0;1.0;1.0;3.0;170;93.0;9.0;10.0;10.0;10.0;10.0;9.0;0.0;67.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1468;;0.0;Sch̦neberg;Tempelhof - Sch̦neberg;52.46263;13.34696;0.0;2.0;2.0;1.0;1.0;1.0;3.0;0;;;;;;;;0.0;40.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2877;;0.0;Friedrichshain;Friedrichshain-Kreuzberg;52.52019;13.45406;0.0;2.0;1.0;1.0;1.0;1.0;7.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;30.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1476;;0.0;Wedding;Mitte;52.55811;13.38867;0.0;3.0;1.0;1.0;2.0;1.0;3.0;1;100.0;8.0;8.0;10.0;10.0;10.0;10.0;0.0;25.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1926;;0.0;Mitte;Mitte;52.53719;13.38855;0.0;4.0;2.0;2.0;2.0;2.0;5.0;5;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;103.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
3017;;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.494890000000005;13.39352;0.0;2.0;1.5;1.0;2.0;1.0;6.0;6;97.0;10.0;9.0;10.0;10.0;10.0;10.0;0.0;30.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
133;100.0;0.0;Wedding;Mitte;52.52691;13.40585;0.0;2.0;1.0;1.0;2.0;1.0;1.0;4;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;29.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2479;100.0;0.0;Friedrichshain;Friedrichshain-Kreuzberg;52.504830000000005;13.46344;0.0;4.0;1.0;2.0;2.0;3.0;2.0;9;88.0;8.0;7.0;9.0;10.0;10.0;9.0;0.0;115.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1061;;0.0;Wedding;Mitte;52.54028;13.3723;0.0;2.0;1.0;1.0;1.0;1.0;2.0;1;80.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;25.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1450;100.0;0.0;Friedrichshain;Friedrichshain-Kreuzberg;52.50898000000001;13.45219;0.0;2.0;1.0;1.0;1.0;1.0;3.0;0;;;;;;;;0.0;38.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2217;;0.0;Mitte;Mitte;52.52946;13.40318;0.0;6.0;1.0;3.0;2.0;2.0;5.0;2;100.0;10.0;10.0;9.0;10.0;10.0;10.0;0.0;90.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2368;;0.0;Britz;Neuk̦lln;52.43431;13.47709;0.0;4.0;1.0;1.0;2.0;1.0;1.0;1;100.0;10.0;10.0;10.0;10.0;8.0;10.0;0.0;21.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1074;100.0;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.50834000000001;13.40199;0.0;2.0;1.0;1.0;1.0;1.0;2.0;4;100.0;10.0;9.0;10.0;10.0;10.0;10.0;0.0;30.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1213;100.0;0.0;Prenzlauer Berg;Pankow;52.54469000000001;13.43466;0.0;2.0;1.0;1.0;1.0;1.0;2.0;59;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;41.0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
520;100.0;0.0;Neuk̦lln;Neuk̦lln;52.4851;13.42119;0.0;1.0;1.0;1.0;1.0;1.0;2.0;2;100.0;9.0;10.0;10.0;10.0;9.0;10.0;0.0;15.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1257;;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.4887;13.4125;0.0;2.0;1.5;1.0;1.0;1.0;2.0;13;83.0;8.0;8.0;9.0;9.0;9.0;8.0;0.0;28.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2129;;0.0;Mitte;Mitte;52.50605;13.41661;0.0;2.0;1.0;1.0;1.0;2.0;7.0;0;;;;;;;;0.0;59.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1487;100.0;1.0;Kreuzberg;Friedrichshain-Kreuzberg;52.48984;13.39239;1.0;5.0;1.0;1.0;5.0;2.0;3.0;74;98.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;40.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
179;100.0;0.0;Neuk̦lln;Neuk̦lln;52.46674;13.43554;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4;93.0;10.0;8.0;10.0;10.0;10.0;10.0;0.0;23.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2001;;1.0;Lichtenberg;Lichtenberg;52.519940000000005;13.491270000000002;1.0;2.0;1.0;1.0;1.0;1.0;1.0;45;96.0;9.0;9.0;10.0;10.0;9.0;9.0;1.0;25.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1364;;0.0;Neuk̦lln;Neuk̦lln;52.4801;13.44687;0.0;1.0;1.0;1.0;1.0;1.0;3.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;25.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2098;;0.0;Sch̦neberg;Tempelhof - Sch̦neberg;52.47536;13.33473;0.0;3.0;1.0;1.0;1.0;3.0;2.0;4;95.0;10.0;9.0;10.0;10.0;10.0;10.0;0.0;60.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2068;;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.49319000000001;13.4009;0.0;2.0;1.5;1.0;2.0;2.0;1.0;6;100.0;10.0;9.0;10.0;10.0;10.0;10.0;0.0;25.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
887;;0.0;Grunewald;Charlottenburg-Wilm.;52.49732;13.28803;0.0;1.0;1.0;0.0;1.0;1.0;3.0;0;;;;;;;;0.0;69.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
433;;0.0;Prenzlauer Berg;Pankow;52.53249;13.42689;0.0;2.0;1.0;1.0;1.0;1.0;2.0;7;83.0;10.0;9.0;9.0;9.0;10.0;9.0;0.0;20.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1931;100.0;1.0;Kreuzberg;Friedrichshain-Kreuzberg;52.49924;13.39546;1.0;5.0;2.0;4.0;3.0;4.0;7.0;1;80.0;8.0;8.0;10.0;8.0;10.0;8.0;1.0;228.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1768;;0.0;Pankow;Pankow;52.57117;13.394920000000004;0.0;3.0;1.0;1.0;1.0;1.0;1.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;25.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1595;;0.0;Mitte;Mitte;52.5364;13.40049;0.0;2.0;1.0;1.0;1.0;2.0;2.0;11;98.0;10.0;9.0;10.0;10.0;10.0;10.0;0.0;65.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1795;;0.0;Mitte;Mitte;52.52712;13.40235;0.0;2.0;1.0;1.0;2.0;1.0;5.0;17;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;86.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
1167;100.0;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.50307;13.3969;0.0;2.0;1.0;1.0;1.0;1.0;2.0;5;92.0;9.0;10.0;9.0;10.0;10.0;9.0;0.0;44.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
983;100.0;0.0;Neuk̦lln;Neuk̦lln;52.48315;13.44;0.0;6.0;2.0;2.0;3.0;1.0;5.0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;250.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
1366;100.0;0.0;Wedding;Mitte;52.54167;13.3689;0.0;2.0;1.0;1.0;1.0;1.0;6.0;13;100.0;10.0;10.0;10.0;10.0;9.0;10.0;0.0;39.0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2074;;0.0;Neuk̦lln;Neuk̦lln;52.48641;13.4356;0.0;1.0;1.0;1.0;1.0;1.0;5.0;20;95.0;10.0;10.0;10.0;10.0;10.0;9.0;0.0;25.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
